Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
G60F0,0.37,546.79,202.31,0,338.1,796.54,9.842,0,56,53
G80F0,0.37,546.79,202.31,0,169.05,796.54,12.029,0,7,25
G80F0,0.37,546.79,202.31,0,169.05,796.54,12.029,0,28,37
G80F0,0.37,546.79,202.31,0,169.05,796.54,12.029,0,56,43
G0F20,0.37,437.43,202.31,109.36,845.26,796.54,4.155,0,7,31
G0F20,0.37,437.43,202.31,109.36,845.26,796.54,4.155,0,28,49
G0F20,0.37,437.43,202.31,109.36,845.26,796.54,4.155,0,56,54
G20F20,0.37,437.43,202.31,109.36,676.21,796.54,3.718,0,7,32
G20F20,0.37,437.43,202.31,109.36,676.21,796.54,3.718,0,28,52
G20F20,0.37,437.43,202.31,109.36,676.21,796.54,3.718,0,56,57
G40F20,0.37,437.43,202.31,109.36,507.16,796.54,4.374,0,7,30
G40F20,0.37,437.43,202.31,109.36,507.16,796.54,4.374,0,28,48
G40F20,0.37,437.43,202.31,109.36,507.16,796.54,4.374,0,56,54
G60F20,0.37,437.43,202.31,109.36,338.1,796.54,6.342,0,7,25
G60F20,0.37,437.43,202.31,109.36,338.1,796.54,6.342,0,28,43
G60F20,0.37,437.43,202.31,109.36,338.1,796.54,6.342,0,56,49
G80F20,0.37,437.43,202.31,109.36,169.05,796.54,8.092,0,7,20
G80F20,0.37,437.43,202.31,109.36,169.05,796.54,8.092,0,28,34
G80F20,0.37,437.43,202.31,109.36,169.05,796.54,8.092,0,56,41
G0F30,0.37,382.75,202.31,164.04,845.26,796.54,2.87,0,7,24
G0F30,0.37,382.75,202.31,164.04,845.26,796.54,2.87,0,28,42
G0F30,0.37,382.75,202.31,164.04,845.26,796.54,2.87,0,56,52
G20F30,0.37,382.75,202.31,164.04,676.21,796.54,2.296,0,7,26
G20F30,0.37,382.75,202.31,164.04,676.21,796.54,2.296,0,28,51
G20F30,0.37,382.75,202.31,164.04,676.21,796.54,2.296,0,56,55
G40F30,0.37,382.75,202.31,164.04,507.16,796.54,2.87,0,7,24
G40F30,0.37,382.75,202.31,164.04,507.16,796.54,2.87,0,28,46
G40F30,0.37,382.75,202.31,164.04,507.16,796.54,2.87,0,56,52
G60F30,0.37,382.75,202.31,164.04,338.1,796.54,4.593,0,7,21
G60F30,0.37,382.75,202.31,164.04,338.1,796.54,4.593,0,28,36
G60F30,0.37,382.75,202.31,164.04,338.1,796.54,4.593,0,56,46
G80F30,0.37,382.75,202.31,164.04,169.05,796.54,6.315,0,7,14
G80F30,0.37,382.75,202.31,164.04,169.05,796.54,6.315,0,28,30
G80F30,0.37,382.75,202.31,164.04,169.05,796.54,6.315,0,56,39
C-1,0.33,550,181.5,0,970,722,7.7,0,7,38
C-1,0.33,550,181.5,0,970,722,7.7,0,28,56
C-1,0.33,550,181.5,0,970,722,7.7,0,90,56
5SF,0.33,522.5,181.5,0,970,722,8.25,27.5,7,44
5SF,0.33,522.5,181.5,0,970,722,8.25,27.5,28,58
5SF,0.33,522.5,181.5,0,970,722,8.25,27.5,90,60
10M,0.33,467.5,181.5,0,970,722,6.05,27.5,7,46
10M,0.33,467.5,181.5,0,970,722,6.05,27.5,28,60
10M,0.33,467.5,181.5,0,970,722,6.05,27.5,90,61
20M,0.33,412.5,181.5,0,970,722,4.95,27.5,7,38
20M,0.33,412.5,181.5,0,970,722,4.95,27.5,28,53
20M,0.33,412.5,181.5,0,970,722,4.95,27.5,90,54
30M,0.33,357.5,181.5,0,970,722,3.575,27.5,7,36
30M,0.33,357.5,181.5,0,970,722,3.575,27.5,28,45
30M,0.33,357.5,181.5,0,970,722,3.575,27.5,90,48
15FA,0.33,440,181.5,82.5,970,722,3.3,27.5,7,47
15FA,0.33,440,181.5,82.5,970,722,3.3,27.5,28,56
15FA,0.33,440,181.5,82.5,970,722,3.3,27.5,90,60
15FA10M,0.33,385,181.5,82.5,970,722,1.925,27.5,7,49
15FA10M,0.33,385,181.5,82.5,970,722,1.925,27.5,28,63
15FA10M,0.33,385,181.5,82.5,970,722,1.925,27.5,90,65
15FA20M,0.33,330,181.5,82.5,970,722,1.65,27.5,7,39
15FA20M,0.33,330,181.5,82.5,970,722,1.65,27.5,28,45
15FA20M,0.33,330,181.5,82.5,970,722,1.65,27.5,90,47
15FA30M,0.33,275,181.5,82.5,970,722,1.815,27.5,7,36
15FA30M,0.33,275,181.5,82.5,970,722,1.815,27.5,28,44
15FA30M,0.33,275,181.5,82.5,970,722,1.815,27.5,90,46
25FA,0.33,385,181.5,137.5,970,722,1.65,27.5,7,43
25FA,0.33,385,181.5,137.5,970,722,1.65,27.5,28,54
25FA,0.33,385,181.5,137.5,970,722,1.65,27.5,90,58
25FA10M,0.33,330,181.5,137.5,970,722,1.375,27.5,7,44
25FA10M,0.33,330,181.5,137.5,970,722,1.375,27.5,28,49
25FA10M,0.33,330,181.5,137.5,970,722,1.375,27.5,90,52
25FA20M,0.33,275,181.5,137.5,970,722,1.1,27.5,7,28
25FA20M,0.33,275,181.5,137.5,970,722,1.1,27.5,28,44
25FA20M,0.33,275,181.5,137.5,970,722,1.1,27.5,90,45
25FA30M,0.33,220,181.5,137.5,970,722,1.375,27.5,7,27
25FA30M,0.33,220,181.5,137.5,970,722,1.375,27.5,28,39
25FA30M,0.33,220,181.5,137.5,970,722,1.375,27.5,90,44
35FA,0.33,330,181.5,192.5,970,722,1.21,27.5,7,38
35FA,0.33,330,181.5,192.5,970,722,1.21,27.5,28,45
35FA,0.33,330,181.5,192.5,970,722,1.21,27.5,90,56
35FA10M,0.33,275,181.5,192.5,970,722,1.1,27.5,7,36
35FA10M,0.33,275,181.5,192.5,970,722,1.1,27.5,28,47
35FA10M,0.33,275,181.5,192.5,970,722,1.1,27.5,90,52
35FA20M,0.33,220,181.5,192.5,970,722,1.045,27.5,7,30
35FA20M,0.33,220,181.5,192.5,970,722,1.045,27.5,28,44
35FA20M,0.33,220,181.5,192.5,970,722,1.045,27.5,90,46
NC,0,500,190,0,770,940,2.25,0,7,47.44
NC,0,500,190,0,770,940,2.25,0,28,60.31
NC,0,500,190,0,770,940,2.25,0,90,66.1
F20T1,0,400,190,100,770,940,1.8,0,7,41.92
F20T1,0,400,190,100,770,940,1.8,0,28,58.51
F20T1,0,400,190,100,770,940,1.8,0,90,72.49
F20T2,0,400,190,100,770,940,1.8,0,7,39.8
F20T2,0,400,190,100,770,940,1.8,0,28,59.94
F20T2,0,400,190,100,770,940,1.8,0,90,76.91
F20T3,0,400,190,100,770,940,1.8,0,7,30.88
F20T3,0,400,190,100,770,940,1.8,0,28,56.78
F20T3,0,400,190,100,770,940,1.8,0,90,78.6
S10T1,0,450,190,0,770,940,2.565,50,7,38.54
S10T1,0,450,190,0,770,940,2.565,50,28,49.64
S10T1,0,450,190,0,770,940,2.565,50,90,58.44
S10T2,0,450,190,0,770,940,2.565,50,7,31.78
S10T2,0,450,190,0,770,940,2.565,50,28,53.05
S10T2,0,450,190,0,770,940,2.565,50,90,70.43
S10T3,0,450,190,0,770,940,2.565,50,7,37.2
S10T3,0,450,190,0,770,940,2.565,50,28,60.03
S10T3,0,450,190,0,770,940,2.565,50,90,78.78
F20S10T1,0,350,190,100,770,940,1.75,50,7,35.39
F20S10T1,0,350,190,100,770,940,1.75,50,28,46.55
F20S10T1,0,350,190,100,770,940,1.75,50,90,56.53
F20S10T2,0,350,190,100,770,940,1.75,50,7,34.73
F20S10T2,0,350,190,100,770,940,1.75,50,28,52.17
F20S10T2,0,350,190,100,770,940,1.75,50,90,65.92
F20S10T3,0,350,190,100,770,940,1.75,50,7,37.77
F20S10T3,0,350,190,100,770,940,1.75,50,28,58.69
F20S10T3,0,350,190,100,770,940,1.75,50,90,73
1,0.5,336,167,0,739,1105,0,0,1,16.7
1,0.5,336,167,0,739,1105,0,0,7,16.7
1,0.5,336,167,0,739,1105,0,0,28,16.7
2,0.45,247,186,165,845,846,1.2,0,1,8.7
2,0.45,247,186,165,845,846,1.2,0,7,21.2
2,0.45,247,186,165,845,846,1.2,0,28,34.6
3,0.4,238,159,159,844,844,2.9,0,1,10.7
3,0.4,238,159,159,844,844,2.9,0,7,25.8
3,0.4,238,159,159,844,844,2.9,0,28,37.8
4,0.35,232,136,155,846,847,3.8,0,1,16.6
4,0.35,232,136,155,846,847,3.8,0,7,31.3
4,0.35,232,136,155,846,847,3.8,0,28,48.3
5,0.45,207,188,207,845,843,0.4,0,1,6.1
5,0.45,207,188,207,845,843,0.4,0,7,17.4
5,0.45,207,188,207,845,843,0.4,0,28,33.2
6,0.4,200,161,200,842,843,1.7,0,1,7
6,0.4,200,161,200,842,843,1.7,0,7,19.3
6,0.4,200,161,200,842,843,1.7,0,28,34.9
7,0.35,197,138,197,856,856,2.8,0,1,7.8
7,0.35,197,138,197,856,856,2.8,0,7,22.9
7,0.35,197,138,197,856,856,2.8,0,28,38.9
8,0.45,169,190,254,853,853,0,0,1,5.2
8,0.45,169,190,254,853,853,0,0,7,15.6
8,0.45,169,190,254,853,853,0,0,28,30.2
9,0.4,163,164,245,851,851,2,0,1,4.9
9,0.4,163,164,245,851,851,2,0,7,14.7
9,0.4,163,164,245,851,851,2,0,28,26.2
10,0.35,161,141,241,866,864,3,0,1,7.3
10,0.35,161,141,241,866,864,3,0,7,20.6
10,0.35,161,141,241,866,864,3,0,28,35.8
1,0,185.7,166.9,101.5,905.4,1006.4,7.5,0,90,38.28
2,0,170.7,161.8,127.4,798.5,1090,7.8,0,3,17.11
3,0,180.7,166.1,127.4,798.6,1090,7.8,0,14,23.34
4,0,160.7,162.1,127.4,804,1090,7.8,0,28,27.41
5,0,242.1,184.3,125.6,779.3,1057.6,5.7,0,14,21.91
6,0,212.1,184.2,125.6,779.3,1057.6,5.7,0,28,21.81
7,0,212.1,184.2,124.6,779.3,1057.6,5.7,0,56,33.21
8,0,240,191.9,118.3,758.6,1029.4,4.6,0,90,32.31
9,0,195.3,160.8,124.2,802.6,1088.1,9.9,0,3,9.49
10,0,190.7,161.9,124.2,802.6,1088.1,9.9,0,14,23.1
11,0,168.1,172.4,168.3,780.1,1058.6,4.5,0,3,11.78
12,0,136.1,176.5,163.3,780.1,1058.6,4.5,0,14,27.49
13,0,165.2,172.4,161.3,780.1,1058.6,4.5,0,28,25.2
14,0,230.6,195.2,118.2,757.6,1028.1,6.1,0,3,15.47
15,0,228.7,191.3,119.2,757.6,1028.1,6.1,0,14,21.31
16,0,229.7,195.2,118.2,757.6,1028.1,6.1,0,90,42.37
17,0,248.1,186.7,94.1,847,949.9,7,0,3,21.43
18,0,238.1,188.7,92.1,847,949.9,7,0,14,26.6
19,0,248.1,186.7,92.1,847,949.9,7,0,90,47.83
20,0,250.5,187.4,95.7,861.2,956.9,5.5,0,3,12.78
21,0,251,186.5,95.7,861.2,956.9,5.5,0,14,27.4
22,0,212.5,159,124.9,799.5,1085.4,7.8,0,3,18.42
23,0,212.6,181.9,124.7,757.7,1028.4,5.8,0,14,30.92
24,0,251.8,188.5,124.2,810.7,1028.4,6.4,0,56,34.9
25,0,251.9,181.6,122.8,757.7,1028.4,6.4,0,90,45.2
26,0,181.8,169.6,122.8,810.7,1055.6,7.6,0,3,14.61
27,0,181.8,170.6,122.8,810.7,1055.6,7.6,0,14,22.93
28,0,181.8,169.6,122.8,777.8,1055.6,7.6,0,28,28.79
29,0,182.5,170.6,124.4,777.8,1055.6,7.6,0,56,37.77
30,0,181.4,169.6,121.8,777.8,1055.6,7.6,0,90,46.77
31,0,250.1,168.3,124.8,865,961.2,9.4,0,90,45.99
32,0,230.1,160.6,124.8,875.6,973.9,11.8,0,3,22.11
33,0,220.8,146.1,124.8,899.8,1006,12.4,0,28,31.74
34,0,210.8,143.3,124.8,800.9,1086.8,12,0,56,62.55
35,0,220.8,141.1,124.7,800.9,1086.8,12,0,90,62.32
36,0,213.7,154.8,124.7,776.4,1053.5,10.2,0,28,43.15
37,0,213.7,155,124.8,776.4,1053.5,10.2,0,56,47.14
38,0,213.7,154.8,124.8,776.4,1053.5,10.2,0,90,54.09
39,0,213.5,155.6,124.8,775.5,1052.3,11.7,0,3,19.64
40,0,213.5,154.6,124.8,800,1052.3,11.7,0,14,36.98
41,0,213.5,155.7,124.8,800,1052.3,11.7,0,28,42.44
42,0,213.5,154.6,124.8,800.5,1052.3,11.7,0,56,49.43
43,0,213.5,155.5,124.8,800,1052.3,11.7,0,90,58.4
44,0,218.9,158.5,124.8,794.9,1078.7,11.3,0,56,40.21
45,0,218.9,160.1,124.8,794.9,1078.7,11.3,0,90,45.25
46,0,376,216.7,124.8,762.4,1003.5,0,0,3,18.98
47,0,190.3,165.6,124.8,798.9,1079,9.9,0,14,20.22
48,0,165,163.8,124.8,900.9,1005.6,0,0,28,26.11
49,0,190.3,165.3,124.8,798.9,1079,9.9,0,28,26.67
50,0,250,192.8,124.8,857.2,948.9,5.3,0,28,28.21
51,0,213.5,159.2,124.8,771.9,1043.6,11.7,0,28,44.61
52,0,194.7,171.5,124.8,901.8,998,7.5,0,28,39.27
53,0,251.4,192.9,124.8,754.3,1043.6,5.8,0,28,36.99
54,0,310,189.9,124.8,712.2,936.2,0,0,28,40.94
55,0,280,189.9,124.8,700,936.2,0,0,7,36.57
56,0,290.2,183.6,124.8,754.3,1069.2,0,0,7,23.18
57,0,252,186.7,124.8,784.3,1111.6,0,0,7,13.11
58,0,339,197,124.8,800,968,0,0,3,18.24
59,0,257,192.8,124.8,856.5,968,0,0,90,27.54
60,0,254,192.7,124.8,799.7,968,0,0,90,28.66
61,0,307,193.5,124.8,799.5,968,0,0,28,29.33
62,0,307,191.2,124.8,799.5,968,0,0,90,35.92
63,0,290,192.2,124.8,755,936,0,0,28,46.29
64,0,297,191.3,124.8,755,936,0,0,90,51.18
65,0,299,187.3,124.8,763,966,0,0,3,17.11
66,0,288,188.6,124.8,758,966,0,0,7,21.21
67,0,289,188.6,124.8,759,966,0,0,14,29.22
68,0,292,187.3,124.8,763,966,0,0,28,33.55
69,0,331,192.2,124.8,801,978,0,0,90,40.1
70,0,349,192.2,124.8,806,1047,0,0,3,16.59
71,0,295,185.3,124.8,769.4,1069,0,0,28,27.19
72,0,238,185.2,124.8,789,1118,0,0,28,16.84
73,0,296,191.3,124.7,765.5,1085,0,0,7,16.83
74,0,322.5,203.4,124.8,840,974,0,0,14,24.11
75,0,322,201.5,124.4,800.2,974,0,0,28,26.15
76,0,322,202.7,124.7,820,974,0,0,90,30.57
77,0,302,202.7,124.8,817,974,0,0,28,26.11
78,0,312.5,182.4,124.6,734,1040,0,0,28,40.08
79,0,317,192.5,124.8,721,936,0,0,3,26.29
80,0,210,142.5,124.8,896,896,0,0,7,49.41
81,0,220,142.5,124.8,896,896,0,0,28,72.11
82,0,144,158.2,124.8,844,943,18,0,28,17.42
83,0,148,158.4,124.8,830,1002,16,0,28,19.95
84,0,326,199.1,124.6,792,801,11,0,28,39.78
85,0,290,220.5,124.8,713,898,11,0,28,9.59
86,0,299.8,211.5,124.8,727.6,878.2,9.9,0,28,25.81
87,0,148.1,159.2,124.6,830.1,1001.8,16.1,0,28,18.98
88,0,326.5,193.3,124.8,792.5,801.1,10.8,0,28,35.61
89,0,276.4,217.4,124.8,712.9,897.7,11,0,28,9.55
90,0,150.7,164.6,124.8,687,1074.5,15.6,0,28,15.44
91,0,190.8,185.1,124.8,811,979.5,11.1,0,28,15.21
92,0,190.9,168.2,124.8,784,991.2,11.6,0,28,18.66
93,0,180.7,182.4,124.8,732,1023.3,11.7,0,28,20.01
94,0,298.1,189.4,124.6,815,879,6.1,0,28,41.64
95,0,318.9,212.7,124.8,725,860.5,5.7,0,28,36.09
96,0,355.9,196.3,124.5,769,801.6,11,0,28,36.27
97,0,199.8,185.4,124.8,856.5,849.3,12.6,0,28,18.01
98,0,278.7,170.3,124.8,782,925.3,10.1,0,28,41.16
CM,0.25,550,137.5,0,866.1,866.1,0,0,28,0
10FA,0.25,495,137.5,55,856.9,856.9,0,0,28,72
20FA,0.25,440,137.5,110,848.8,848.8,0,0,28,65
30FA,0.25,385,137.5,165,840.2,840.2,0,0,28,60
40FA,0.25,330,137.5,220,839.8,839.8,0,0,28,55
50FA,0.25,275,137.5,275,824.1,824.1,0,0,28,53
60FA,0.25,220,137.5,330,815.7,815.7,0,0,28,45
10S,0.25,495,137.5,0,840.3,840.3,0,0,28,79
20S,0.25,440,137.5,0,815.4,815.4,0,0,28,82
30S,0.25,385,137.5,0,790.2,790.2,0,0,28,83
40S,0.25,330,137.5,0,765.3,765.3,0,0,28,84
50S,0.25,275,137.5,0,740.3,740.3,0,0,28,76
60S,0.25,220,137.5,0,715.1,715.1,0,0,28,70
5FA5S,0.25,495,137.5,27.5,849.1,849.1,0,0,28,81
10FA10S,0.25,440,137.5,55,832.9,832.9,0,0,28,83
15FA15S,0.25,385,137.5,82.5,816.1,816.1,0,0,28,86
20FA20S,0.25,330,137.5,110,799.6,799.6,0,0,28,80
25FA25S,0.25,275,137.5,137.5,783.1,783.1,0,0,28,74
30FA30S,0.25,220,137.5,165,766,766,0,0,28,70
WB50,0.5,410,205,0,609,1132,0,0,3,25
WB50,0.5,410,205,0,609,1132,0,0,28,52
WB50-FA15,0.5,410,205,61.5,589,1132,0,0,3,23
WB50-FA15,0.5,410,205,61.5,589,1132,0,0,28,50
WB50-FA25,0.5,410,205,102.5,576,1132,0,0,3,20
WB50-FA25,0.5,410,205,102.5,576,1132,0,0,28,49
WB50-FA45,0.5,410,205,184.5,549,1132,0,0,3,18
WB50-FA45,0.5,410,205,184.5,549,1132,0,0,28,38
WB50-FA55,0.5,410,205,225.5,536,1132,0,0,3,15
WB50-FA55,0.5,410,205,225.5,536,1132,0,0,28,35
WB40,0.4,400,160,0,710,1157,0,0,3,23
WB40,0.4,400,160,0,710,1157,0,0,28,26
WB40-FA15,0.4,400,160,60,690,1157,0,0,3,20
WB40-FA15,0.4,400,160,60,690,1157,0,0,28,54
WB40-FA25,0.4,400,160,100,660,1157,0,0,3,18
WB40-FA25,0.4,400,160,100,660,1157,0,0,28,53
WB40-FA45,0.4,400,160,180,634,1157,0,0,3,14
WB40-FA45,0.4,400,160,180,634,1157,0,0,28,50
WB40-FA55,0.4,400,160,220,621,1157,0,0,3,12
WB40-FA55,0.4,400,160,220,621,1157,0,0,28,46
WB30,0.3,500,150,0,724,1086,0,0,3,54
WB30,0.3,500,150,0,724,1086,0,0,28,45
WB30-FA15,0.3,500,150,75,700,1086,0,0,3,50
WB30-FA15,0.3,500,150,75,700,1086,0,0,28,65
WB30-FA25,0.3,500,150,125,683,1086,0,0,3,48
WB30-FA25,0.3,500,150,125,683,1086,0,0,28,63
WB30-FA45,0.3,500,150,225,650,1086,0,0,3,35
WB30-FA45,0.3,500,150,225,650,1086,0,0,28,54
WB30-FA55,0.3,500,150,275,634,1086,0,0,3,25
WB30-FA55,0.3,500,150,275,634,1086,0,0,28,52
WB24,0.24,637,150,0,711,936,0,0,3,60
WB24,0.24,637,150,0,711,936,0,0,28,110
WB24-FA25,0.24,633,150,159.25,681,924,0,0,3,55
WB24-FA25,0.24,633,150,159.25,681,924,0,0,28,100
WB24-FA45,0.24,630,148,286.65,639,920,0,0,3,47
WB24-FA45,0.24,630,148,286.65,639,920,0,0,28,80
WB19,0.19,702,135,0,641,949,0,0,3,65
WB19,0.19,702,135,0,641,949,0,0,28,105
WB19-FA25,0.19,685,133,175.5,620,932,0,0,3,60
WB19-FA25,0.19,685,133,175.5,620,932,0,0,28,90
WB19-FA45,0.19,677,130,315.9,608,927,0,0,0,0
CONTROL,0.28,550,154,0,815,720,0,0,3,53
CONTROL,0.28,550,154,0,815,720,0,0,28,56
20FA5CC,0.28,412.5,154,55,815,720,0,0,3,50
20FA5CC,0.28,412.5,154,55,815,720,0,0,28,60
20FA10CC,0.28,385,154,55,815,720,0,0,3,49
20FA10CC,0.28,385,154,55,815,720,0,0,28,58
10FA20CC,0.28,330,154,55,815,720,0,0,3,48
10FA20CC,0.28,330,154,55,815,720,0,0,28,49
30FA5CC,0.28,357.5,154,357.5,815,720,0,0,3,45
30FA5CC,0.28,357.5,154,357.5,815,720,0,0,28,58
30FA10CC,0.28,330,154,357.5,815,720,0,0,3,40
30FA10CC,0.28,330,154,357.5,815,720,0,0,28,50
30FA20CC,0.28,275,154,357.5,815,720,0,0,3,39
30FA20CC,0.28,275,154,357.5,815,720,0,0,28,45
50FA5CC,0.28,247.5,154,962.5,815,720,0,0,3,39
50FA5CC,0.28,247.5,154,962.5,815,720,0,0,28,56
50FA10CC,0.28,220,154,962.5,815,720,0,0,3,39
50FA10CC,0.28,220,154,962.5,815,720,0,0,28,40
50FA20CC,0.28,165,154,962.5,815,720,0,0,3,39
50FA20CC,0.28,165,154,962.5,815,720,0,0,28,40
1,0.55,148,0,137,830,1002,0.11,0,28,17.95
2,0.49,393,0,0,758,940,0,0,28,39.58
6,0.65,325,0,60,900,850,0.12,0,28,31.4
10,0.51,374.3,0,0,730.4,1013.2,0.02,0,28,39.06
14,0.5,348,0,224,783,848,0.43,0,28,58.6
21,0.55,296,0,107,778,819,0.04,0,28,31.42
22,0.41,350,0,162,768,840,0.18,0,28,51.7
26,0.55,296,0,106.7,778.4,819.2,0.04,0,28,31.42
30,0.51,374,0,0,730,1013,0.02,0,28,39.05
34,0.56,148.1,0,136.6,830.1,1001.8,0.11,0,28,17.96
38,0.67,275,0,0,808,1088,0,0,28,24.5
42,0.49,231.75,0,121.62,778.45,1056.4,0.03,0,28,33.73
45,0.49,181.38,0,167.01,777.8,1055.6,0.04,0,28,27.77
48,0.56,194.68,0,100.52,905.9,1006.4,0.04,0,28,25.72
51,0.65,325,0,60,899,850,0.43,0,28,30.8
54,0.33,420,0,80,785,860,0.3,0,28,56
57,0.51,212.52,0,100.37,903.59,1007.8,0.04,0,28,31.64
60,0.33,290,0,100,913,837,0.01,0,28,42.7
63,0.58,333,0,0,842.6,931.2,0,0,28,31.97
66,0.55,250,0,160,742,837,0.5,0,28,28.5
69,0.58,339,0,0,781,968,0,0,28,32.04
72,0.45,207,0,207,845,843,0.4,0,28,33.2
75,0.73,252,0,0,784,1111,0,0,28,19.69
78,0.28,360,0,240,853,698,0.3,0,28,63.5
81,0.32,417,0,153,828,759,0.31,0,28,61.82
85,0.4,163,0,245,851,851,0.2,0,28,26.2
89,0.62,310,0,0,850,970,0,0,28,27.92
93,0.38,350,0,133,815,883,0.34,0,28,55.3
97,0.51,190.34,0,125.18,802.59,1088.1,0.05,0,28,28.47
101,0.36,427,0,115,779,844,0.26,0,28,59.4
105,0.48,475,0,0,594,932,0,0,28,39.29
109,0.58,164.6,0,150.4,728.9,1023.3,0.07,0,28,18.03
113,0.58,165,0,150,729,1023,0.07,0,28,18.03
117,0.47,318,0,126,737,861,0.02,0,28,40.06
121,0.47,317.9,0,126.5,736.6,860.5,0.02,0,28,40.06
125,0.87,280,0,96,817,850,0.62,0,28,15.9
129,0.32,540,0,0,613,1125,0,0,28,67.31
133,0.55,183,0,160,891,837,0.5,0,28,22.1
137,0.56,238.05,0,94.11,847.01,949.91,0.03,0,28,30.23
141,0.63,307,0,0,812,968,0,0,28,27.53
145,0.38,480,0,96,819,699,0.94,0,28,53
149,0.65,144.8,0,133.6,811.5,979.5,0.08,0,28,13.2
153,0.65,145,0,134,812,979,0.08,0,28,13.2
157,0.7,151.6,0,111.9,815.9,993,0.05,0,28,12.18
161,0.85,325,0,60,722,850,0.43,0,28,13.3
165,0.69,370,0,24,772,850,0.25,0,28,26.4
169,0.7,152,0,112,816,992,0.05,0,28,12.18
173,0.58,331,0,0,825,978,0,0,28,31.45
177,0.74,252.5,0,0,784.3,1111.6,0,0,28,19.77
181,0.35,505,0,60,630,1030,0,0,28,64.02
185,0.6,134.7,0,165.7,804.9,961,0.07,0,28,13.29
189,0.65,325,0,60,899,850,0.43,0,28,32.6
193,0.6,135,0,166,805,961,0.07,0,28,13.29
197,0.34,475,0,0,662,1044,0.02,0,28,58.52
201,0.52,251.37,0,118.27,754.3,1043.6,0.02,0,28,33.27
205,0.54,166.09,0,163.27,789.09,1058.6,0.03,0,28,21.54
209,0.49,393,0,0,785.6,940.6,0,0,28,39.6
213,0.73,250,0,0,820,1100,0,0,28,20.87
217,0.65,210,0,100,910,837,0.8,0,28,19.1
221,0.51,190.68,0,125.4,804.01,1090,0.04,0,28,26.4
225,0.68,249,0,60,1079,850,0.43,0,28,24
231,0.43,405,0,0,695,1120,0,0,28,52.3
237,0.35,528,0,0,720,920,0.01,0,28,56.83
243,0.55,250,0,160,739,837,0,0,28,27.3
249,0.55,273,0,90,762,931,0.04,0,28,32.24
255,0.42,297.16,0,117.54,753.45,1022.8,0.03,0,28,47.4
261,0.45,169,0,254,853,853,0,0,28,30.2
267,0.55,272.6,0,89.6,762.2,931.3,0.04,0,28,32.25
273,0.53,190.34,0,125.18,798.9,1079,0.05,0,28,24.85
279,0.62,310,0,0,830,1012,0,0,28,27.83
285,0.52,298,0,107,744,880,0.04,0,28,31.87
291,0.52,298.2,0,107,744.2,879.6,0.04,0,28,31.88
297,0.51,251.37,0,118.27,757.73,1028.4,0.03,0,28,32.66
303,0.45,247,0,165,845,846,0.12,0,28,34.6
309,0.47,400,0,0,745,1025,0,0,28,43.7
315,0.43,170,0,200,930,900,0.2,0,28,31
321,0.66,289,0,0,895.3,913.2,0,0,28,25.57
327,0.55,317,0,160,594,837,0.5,0,28,29.1
333,0.43,326,0,138,792,801,0.03,0,28,40.68
339,0.63,295,0,0,769,1069,0,0,28,25.18
345,0.33,520,0,0,855,855,0.01,0,28,60.28
351,0.35,225,0,275,908,652,0.7,0,28,41.42
357,0.59,222.36,0,96.67,870.32,967.08,0.02,0,28,24.89
363,0.53,165,0,143.57,900.9,1005.6,0,0,28,26.2
369,0.78,238,0,0,789,1119,0,0,28,17.54
372,0.78,238,0,0,789,1118,0,0,28,17.54
375,0.78,238.1,0,0,789.3,1118.8,0,0,28,17.58
378,0.4,238,0,159,844,844,0.29,0,28,37.8
381,0.28,522,0,0,896,896,0,0,28,74.99
384,0.55,148,0,182,884,839,0.1,0,28,15.52
387,0.65,290,0,100,709,837,0.2,0,28,26.6
390,0.55,148.1,0,182.1,884.3,838.9,0.1,0,28,15.53
393,0.65,154.8,0,142.8,696.7,1047.4,0.06,0,28,12.46
396,0.67,302,0,0,817,974,0,0,28,21.75
399,0.65,155,0,143,697,1047,0.06,0,28,12.46
403,0.39,280,0,120,946,900,0.35,0,28,45
407,0.75,255,0,0,945,889.8,0,0,28,18.75
411,0.55,250,0,160,746,837,1,0,28,26.7
415,0.63,400,0,60,718,850,0.43,0,28,30.4
419,0.63,322,0,0,800,974,0,0,28,25.18
423,0.55,250,0,160,742,837,0.5,0,28,26.4
426,0.45,220,0,180,850,900,0.35,0,28,38
429,0.48,350,0,90,852,923,0.14,0,28,46.5
432,0.45,290,0,100,913,837,0.8,0,28,42.7
435,0.4,213.74,0,174.74,776.35,1053.5,0.05,0,28,40.15
438,0.58,331,0,0,821,1025,0,0,28,31.74
441,0.45,427,0,115,779,844,0.12,0,28,59.4
444,0.63,295.8,0,0,769.3,1091.4,0,0,28,25.22
447,0.66,281,0,0,774,1104,0,0,28,22.44
450,0.66,281,0,0,774,1104,0,0,28,22.44
453,0.63,296,0,0,769,1090,0,0,28,25.18
456,0.65,325,0,60,898,850,0.43,0,28,34.3
459,0.55,250,0,160,742,837,0.5,0,28,26
462,0.37,275,0,275,796,937,0.74,0,28,63.32
465,0.61,300,0,0,795,1075,0,0,28,26.85
468,0.46,298.1,0,107,815.2,879,0.02,0,28,42.64
